Project,Class,Release,nAuth,ChangeSetSize,LinesOfComment,LOC,maxChangeSetSize,nCommits,nFixCommits,Age,LOCadded,maxLOCadded,Buggy
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MatchesExpression.java,0,2,0,9,110,928,3,0,18,14,8,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,0,2,0,3,140,928,4,0,18,30,20,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Max.java,0,2,0,3,36,928,2,0,18,1,1,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Min.java,0,2,0,3,36,928,2,0,18,1,1,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression.java,0,2,0,3,72,928,3,0,18,11,6,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotEqualExpression.java,0,2,0,3,72,928,2,0,18,8,8,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotExpression.java,0,2,0,3,62,928,3,0,18,10,5,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java,0,2,0,2,45,928,2,0,18,3,3,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression.java,0,2,0,6,90,928,3,0,18,13,7,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,0,2,0,48,567,928,6,0,18,74,31,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java,0,2,0,3,100,928,2,0,18,4,4,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLEmbed.java,0,2,0,2,58,928,2,0,18,1,1,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLExpression.java,0,1,0,2,35,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLValue.java,0,1,0,2,33,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java,0,2,0,63,254,928,8,0,18,42,18,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Size.java,0,2,0,4,48,928,3,0,18,5,4,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sqrt.java,0,1,0,3,36,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,0,2,0,7,218,928,3,0,18,21,15,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java,0,2,0,3,116,928,4,0,18,26,17,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringLength.java,0,1,0,3,51,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,0,2,0,4,189,928,4,0,18,44,27,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java,0,2,0,3,134,928,4,0,18,32,22,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sum.java,0,2,0,3,45,928,2,0,18,1,1,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java,0,1,0,3,42,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToUpperCase.java,0,1,0,3,42,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java,0,2,0,7,162,928,4,0,18,30,20,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/UnaryOp.java,0,2,0,5,138,928,5,0,18,26,17,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java,0,2,0,19,136,928,3,0,18,13,13,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,0,2,0,7,160,928,3,0,18,23,14,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,0,1,0,101,799,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java,0,1,0,33,286,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassStrategy.java,0,1,0,9,102,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DelegatingJoinable.java,0,1,0,4,109,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Discriminator.java,0,2,0,35,347,928,2,0,18,32,32,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java,0,1,0,17,143,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorStrategy.java,0,2,0,7,61,928,2,0,18,2,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Embeddable.java,0,2,0,8,72,928,2,0,18,2,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java,0,2,0,76,843,928,2,0,18,18,18,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,0,1,0,27,276,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldStrategy.java,0,2,0,33,208,928,2,0,18,9,9,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java,0,1,0,6,71,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCOrder.java,0,1,0,4,39,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,0,1,0,2,57,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCValueOrder.java,0,1,0,2,54,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JavaSQLTypes.java,0,2,0,7,150,928,2,0,18,6,6,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,0,1,0,8,77,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaults.java,0,1,0,31,273,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,0,1,0,55,608,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,0,1,0,165,1483,928,3,0,18,9,9,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,0,2,0,83,1026,928,4,0,18,72,41,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingStrategyInstaller.java,0,1,0,3,61,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,0,3,0,89,987,928,6,0,18,102,36,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MetaDataPlusMappingFactory.java,0,1,0,6,119,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneMappingDefaults.java,0,1,0,2,130,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneStrategyInstaller.java,0,1,0,3,53,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java,0,1,0,6,203,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,0,1,0,54,515,928,2,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RefreshStrategyInstaller.java,0,1,0,9,115,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId.java,0,1,0,3,31,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java,0,1,0,15,144,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseMappingTool.java,0,2,0,176,1789,928,2,0,18,3,3,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RuntimeStrategyInstaller.java,0,1,0,5,80,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/SequenceMapping.java,0,1,0,16,127,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Strategy.java,0,1,0,14,116,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/StrategyInstaller.java,0,1,0,8,58,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueHandler.java,0,2,0,9,89,928,2,0,18,2,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMapping.java,0,2,0,43,221,928,2,0,18,4,4,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java,0,1,0,19,459,928,2,0,18,1,1,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingInfo.java,0,1,0,21,273,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Version.java,0,1,0,32,302,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionMappingInfo.java,0,1,0,9,73,928,2,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionStrategy.java,0,1,0,8,65,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractClassStrategy.java,0,1,0,3,68,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractDiscriminatorStrategy.java,0,2,0,6,76,928,2,0,18,2,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractFieldStrategy.java,0,2,0,4,142,928,2,0,18,9,9,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractStrategy.java,0,1,0,2,63,928,1,0,18,0,0,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractValueHandler.java,0,2,0,2,49,928,2,0,18,2,2,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractVersionStrategy.java,0,1,0,3,57,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/BlobValueHandler.java,0,1,0,3,43,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ByteArrayValueHandler.java,0,1,0,3,52,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayStreamValueHandler.java,0,1,0,3,71,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayValueHandler.java,0,1,0,3,55,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClassNameDiscriminatorStrategy.java,0,1,0,3,109,928,2,0,18,1,1,No
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClobValueHandler.java,0,1,0,3,43,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ColumnVersionStrategy.java,0,1,0,12,218,928,1,0,18,0,0,Yes
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ContainerFieldStrategy.java,0,2,0,4,112,928,2,0,18,7,7,No
